city,latitude,longitude
Albury,-36.08078,146.916473
BadgerysCreek,-33.879722,150.752222
Cobar,-31.46292818,145.8327995
CoffsHarbour,-30.29431162,153.1239981
Moree,-29.43543221,149.8252918
Newcastle,-32.91608177,151.7796415
NorahHead,-33.26710204,151.5708298
NorfolkIsland,-31.7466347,150.0478728
Penrith,-33.74634482,150.6938242
Richmond,-33.60748925,150.7538663
Sydney,-33.83081716,151.2148357
SydneyAirport,-33.93929081,151.1756734
WaggaWagga,-34.86129735,147.3416667
Williamtown,-32.80068095,151.851097
Wollongong,-34.32616868,150.9174148
Canberra,-35.29204429,149.1222203
Tuggeranong,-35.41619757,149.1037279
MountGinini,-35.5288598,148.7725361
Ballarat,-37.55464015,143.8477604
Bendigo,-36.63534807,144.3006915
Sale,-38.10872145,147.0789146
MelbourneAirport,-37.66897831,144.8410273
Melbourne,-37.91275376,145.1244075
Mildura,-34.20277093,142.1380651
Nhil,-36.32509666,141.6471875
Portland,-38.35969113,141.6077959
Watsonia,-37.70750238,145.0836734
Dartmoor,-37.88673838,141.2700832
Brisbane,-27.08116598,153.1058378
Cairns,-16.88639254,145.7450861
GoldCoast,-26.97303071,153.3952959
Townsville,-19.23176967,146.8142462
Adelaide,-34.86663469,138.6110151
MountGambier,-37.83491696,140.7847554
Nuriootpa,-34.46412212,138.9834331
Woomera,-31.16918201,136.8163779
Albany,-35.00640598,117.8841756
Witchcliffe,-34.01204339,115.0981795
PearceRAAF,-31.66885087,116.0173114
PerthAirport,-31.9385473,115.9669058
Perth,-31.90136777,115.8762406
SalmonGums,-32.89208018,121.6154224
Walpole,-34.96895434,116.7572601
Hobart,-42.88834275,147.3242278
Launceston,-41.42076036,147.1392037
AliceSprings,-22.23917092,134.166614
Darwin,-12.42843957,130.846747
Katherine,-14.45782196,132.2728967
Uluru,-24.48531818,130.9286693
